geometry,check_date:crossing,crossing,crossing:island,highway,tactile_paving,bench,bin,bus,lit,name,public_transport,shelter,direction,crossing:markings,surface,lanes,maxspeed,oneway,postal_code,hgv,maxweight,smoothness,access,have_riverbank,bridge,layer,wikidata,vehicle,old_name,sidewalk,parking:left,handrail,incline,ramp,bridge:movable,priority,footway,living_street,covered,maxheight,note,tunnel,service,step_count,area,parking:right
POINT (29.7727696 59.9872955),2020-12-17,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7736142 59.9880357),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7714776 59.9874896),,,,bus_stop,no,yes,yes,yes,yes,Петровский парк,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7757168 59.9866638),,,,bus_stop,no,yes,yes,yes,yes,Макаровские ворота,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7776773 59.9870851),,,,bus_stop,no,yes,yes,yes,yes,Летний сад,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7829848 59.9861706),,,,bus_stop,no,yes,yes,yes,yes,"Петровская улица, угол улицы Аммермана",platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7721047 59.987144),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7696533 59.9877253),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.76945 59.9878302),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7731688 59.9881267),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.77035 59.9886884),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7656762 59.9883667),,uncontrolled,,crossing,,,,,,,,,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7727107 59.9871135),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.773307 59.9880988),,,,give_way,,,,,,,,,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7734145 59.9881264),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7732897 59.987956),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7695093 59.9879034),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.773445 59.9881682),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7702505 59.9887083),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.783324 59.9861207),,,,give_way,,,,,,,,,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7714271 59.9873168),,,,bus_stop,no,no,yes,yes,yes,Петровский парк,platform,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.772851 59.9870854),,uncontrolled,no,crossing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (29.7666878 59.9881737),,uncontrolled,,crossing,,,,,,,,,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7659187 59.988661, 29.7657929 59.9885198, 29.7657227 59.9884308, 29.7656762 59.9883667, 29.7656161 59.9883007, 29.7655042 59.9881601, 29.7648174 59.9872977, 29.7644776 59.9868848)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7717961 59.9907177, 29.7719339 59.9906906, 29.7722184 59.9906304, 29.7723349 59.9906058, 29.7730335 59.9904613, 29.7733083 59.9904049, 29.7735711 59.9903512, 29.7736635 59.9903312, 29.7742348 59.9902138, 29.7743545 59.9901898, 29.7744572 59.9901677, 29.7748903 59.9900747, 29.7749406 59.9900328)",,,,residential,,,,,yes,Манежный переулок,,,,,asphalt,2,RU:urban,yes,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749406 59.9900328, 29.7748993 59.9899797, 29.7743966 59.9893623)",,,,residential,,,,,yes,Красная улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7692781 59.9876582, 29.7692527 59.9876261)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7754247 59.9903943, 29.7753799 59.990336, 29.7752607 59.9901988, 29.7751466 59.9900619)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7694052 59.9877749, 29.7686642 59.9879232, 29.7679947 59.9880571, 29.7675341 59.9881442, 29.7674362 59.9881627)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7658342 59.9884064, 29.7657227 59.9884308, 29.765143 59.988553, 29.7645736 59.9886804, 29.763396 59.988927, 29.7625758 59.9890926, 29.7624751 59.9891007, 29.7623043 59.9891384)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7664885 59.9886465, 29.7666005 59.9887817)",,,,path,,,,,,,,,,,,,,,,,,,private,yes,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7800405 59.9880343, 29.7797617 59.9876617, 29.7801002 59.9876006, 29.7805239 59.9875143, 29.7799564 59.9868241, 29.7798922 59.9867458)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7805491 59.9866115, 29.7802299 59.9866767)",,,,tertiary,,,,,yes,Петровская улица,,,,,metal,2,RU:urban,,197762,,,,,,yes,1,Q109399097,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7800519 59.9867131, 29.7798922 59.9867458, 29.7798054 59.9867637, 29.7780555 59.9871232, 29.7777658 59.9871827, 29.7736142 59.9880357, 29.7733831 59.9880835)",,,,tertiary,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,Q4361182,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7774914 59.9863885, 29.7778879 59.9869029, 29.7779536 59.9869916, 29.7780555 59.9871232)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,destination,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7721651 59.9872227, 29.7721047 59.987144, 29.771188 59.9859447, 29.770994 59.9856894, 29.7709145 59.9855849)",,,,residential,,,,,yes,Арсенальный переулок,,,,,asphalt,2,RU:urban,,,,,,,,,,Q4069944,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7683952 59.9865066, 29.7682986 59.9865261, 29.7659213 59.9870127, 29.7658781 59.9870215, 29.765822 59.987033, 29.7657313 59.9870516)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7710669 59.985976, 29.7709949 59.9859849, 29.7708423 59.9860177, 29.7683952 59.9865066)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7669168 59.988456, 29.7668383 59.9883563, 29.766736 59.9882265, 29.7666878 59.9881737, 29.7666259 59.9880985)",,,,service,,,,,,,,,,,asphalt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7733831 59.9880835, 29.773307 59.9880988, 29.7731688 59.9881267, 29.772395 59.9882807, 29.7714273 59.9884736, 29.7711979 59.9885193, 29.77035 59.9886884, 29.7702505 59.9887083, 29.7701739 59.9887235)",,,,residential,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,Q4361182,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7872676 59.9911219, 29.7871715 59.990987, 29.7871235 59.9909197, 29.7870605 59.9908385, 29.7869558 59.9907038, 29.7869185 59.9906557, 29.786401 59.9899893, 29.7859427 59.9894007, 29.7858702 59.9893079, 29.7854061 59.9887136, 29.7853175 59.9886012, 29.7852318 59.9884924, 29.7849844 59.9881833, 29.7846438 59.9877578, 29.7844946 59.9875715, 29.7844852 59.9875597, 29.7842202 59.9872286, 29.7838538 59.9867698, 29.7833298 59.9861278, 29.783324 59.9861207, 29.7832819 59.9860633)",,,,residential,,,,,yes,улица Комсомола,,,,,asphalt,2,RU:urban,yes,197762,,,excellent,,,,,,,улица Бочарная,,,,,,,,,,,,,,,,,
"LINESTRING (29.7733831 59.9880835, 29.7732897 59.987956, 29.7730692 59.9876749, 29.7727696 59.9872955, 29.7726375 59.9871282)",,,,tertiary,,,,,yes,Красная улица,,,,,asphalt,2,RU:urban,,197762,,,intermediate,,,,,,,,separate,,,,,,,,,,,,,,,,
"LINESTRING (29.78442 59.9858425, 29.7842198 59.9858853, 29.7832819 59.9860633)",,,,tertiary,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,Q4361182,,,,no,,,,,,,,,,,,,,,
"LINESTRING (29.7687547 59.9869783, 29.7683952 59.9865066, 29.7681358 59.9862035)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7768451 59.9896106, 29.7769242 59.9896109, 29.7770423 59.9895876, 29.7772618 59.9895846, 29.7779132 59.9894731, 29.7779674 59.9894662, 29.7781063 59.9894405, 29.7781517 59.9894976, 29.7782799 59.9896743)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7681253 59.9882122, 29.7681779 59.9882747, 29.7686518 59.9888374, 29.7688118 59.9890274, 29.7690059 59.9892578)",,,,service,,,,,,,,,,,cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.778698 59.9898967, 29.778951 59.9902259, 29.7790696 59.9904057)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7748993 59.9899797, 29.7751062 59.9899402, 29.7768451 59.9896106, 29.7768895 59.9895474, 29.7767189 59.989335, 29.7766929 59.9893402, 29.7764147 59.9893961, 29.7763156 59.9894423)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.778698 59.9898967, 29.7785453 59.9898019, 29.7782799 59.9896743)",,,,steps,,,,,no,,,,,,,,,,,,,,,,,,,,,,,no,up,no,,,,,,,,,,,,
"LINESTRING (29.7689682 59.9871543, 29.7690107 59.9871296, 29.7690359 59.9870995, 29.7690413 59.987067, 29.7690264 59.9870353, 29.7689926 59.9870074, 29.7689432 59.9869861, 29.7688831 59.9869735, 29.7688181 59.9869708, 29.7687547 59.9869783, 29.7686935 59.9869976, 29.7686492 59.9870262, 29.7686272 59.9870607, 29.76863 59.9870968, 29.7686574 59.9871303, 29.7687061 59.9871571, 29.7687701 59.987174, 29.7688418 59.9871788, 29.7689125 59.9871712, 29.7689682 59.9871543)",,,,footway,,,,,yes,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7665598 59.9882609, 29.7658342 59.9884064)",,,,tertiary,,,,,,Доковый мост,,,,,metal,1,20,,,,16,,,,movable,1,Q3565129,,,,,,,,swing,backward,,,,,,,,,,
"LINESTRING (29.7795335 59.98691, 29.7795576 59.9869393, 29.7801002 59.9876006)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7705603 59.9847748, 29.7710139 59.9853341, 29.7710815 59.9854158)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7753294 59.9888247, 29.7755343 59.9890851, 29.7758882 59.9895347)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749929 59.9892425, 29.7749145 59.9892583)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7729838 59.9872517, 29.7729052 59.9872678, 29.7727696 59.9872955, 29.772635 59.9873234, 29.7725411 59.9873428)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7744668 59.9885865, 29.7745772 59.9887242, 29.7747501 59.9889398, 29.774838 59.9890494, 29.7749631 59.9892054, 29.7749929 59.9892425, 29.7753189 59.9896491)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7753189 59.9896491, 29.77548 59.9896165, 29.7758882 59.9895347, 29.7763156 59.9894423, 29.775781 59.9887351, 29.7753294 59.9888247, 29.7751446 59.9888614, 29.7747501 59.9889398)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7738773 59.988704, 29.7740957 59.9886605, 29.7744668 59.9885865, 29.7748681 59.9885062, 29.7747369 59.988345, 29.7743335 59.9884178, 29.7741974 59.9882459)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7751062 59.9899402, 29.7746215 59.9893171, 29.7740957 59.9886605, 29.7737061 59.9881634, 29.7736824 59.9881203, 29.7736493 59.9880792)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7709949 59.9859849, 29.7701632 59.9867816, 29.7694298 59.9874517)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7718651 59.9870992, 29.7703627 59.9868188, 29.7701632 59.9867816, 29.7683952 59.9865066)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7718651 59.9870992, 29.7714935 59.9866077, 29.7709949 59.9859849, 29.7708557 59.9858152, 29.7708146 59.9857558, 29.7706035 59.9857104, 29.7681358 59.9862035)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767336 59.9863086, 29.7758372 59.9864879)",,,,residential,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7736222 59.9875729, 29.7736802 59.9875673, 29.7736985 59.9875639, 29.773812 59.9875411, 29.7740558 59.9874927, 29.7742758 59.987449, 29.7745061 59.9874037, 29.7745438 59.9873974, 29.7745776 59.987394, 29.7746084 59.9873939, 29.7746409 59.9873967, 29.774664 59.9874024, 29.7746827 59.9874117, 29.7746963 59.987422, 29.7747756 59.9875032)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767627 59.986715, 29.7768453 59.9866976)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7753754 59.98725, 29.7751995 59.9870038)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7767694 59.9870718, 29.7767639 59.9870729)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7745461 59.9871784, 29.7746648 59.9871543)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7758657 59.9866733, 29.7758537 59.9867115)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7760813 59.9867355, 29.7763266 59.9866896)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.774778 59.9874691, 29.7750934 59.9874052)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7730692 59.9876749, 29.7732886 59.9876321, 29.7735185 59.9875873, 29.7736181 59.9875679, 29.7736803 59.9875622, 29.7738085 59.9875366, 29.7738311 59.9875321, 29.774052 59.9874879, 29.7742716 59.987444, 29.7743732 59.9874237, 29.7745913 59.98738, 29.774715 59.9873733, 29.7747774 59.9873664, 29.774804 59.9873635, 29.7748475 59.9873571, 29.7748855 59.9873514, 29.7750237 59.9873228, 29.7753754 59.98725, 29.7760766 59.9871048, 29.7762283 59.9870734, 29.7763244 59.9870656, 29.7763933 59.9870581, 29.7764852 59.9870381, 29.7765559 59.9870192, 29.7766352 59.9869922, 29.7766962 59.9869794, 29.7768769 59.9869413, 29.7771734 59.9868789, 29.7770147 59.9866703, 29.7769806 59.9866256, 29.7769439 59.9865773, 29.7768645 59.9864729, 29.7768204 59.9864212)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7767336 59.9863086, 29.7768204 59.9864212, 29.7772119 59.9863492)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7747799 59.9871123, 29.7747571 59.9870845, 29.7747743 59.9870811)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7759791 59.9866881, 29.7760813 59.9867355, 29.7766148 59.9869828)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7752133 59.9875473, 29.7750934 59.9874052, 29.7750237 59.9873228)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7768769 59.9869413, 29.7768951 59.9868874, 29.7769592 59.9866969)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7768788 59.9872055, 29.7767694 59.9870718, 29.7766962 59.9869794)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7768951 59.9868874, 29.7767627 59.986715, 29.7767278 59.9867215)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.776498 59.9872826, 29.7763891 59.9871472, 29.7763244 59.9870656)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7738493 59.9875891, 29.773812 59.9875411, 29.7738085 59.9875366)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7758293 59.9867893, 29.7760766 59.9871048)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7745394 59.9873103, 29.7744558 59.9871967, 29.7744434 59.9871799)",,,,footway,,,,,,,,,,,tartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7729838 59.9872517, 29.7734367 59.9871608, 29.774824 59.9868824, 29.7758657 59.9866733, 29.7759225 59.9866619, 29.7760153 59.9866433, 29.7768645 59.9864729)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7733002 59.9869956, 29.7734367 59.9871608, 29.7734757 59.987208, 29.7735539 59.9872425, 29.7736184 59.9872632, 29.7737034 59.9873707, 29.7738311 59.9875321)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7748695 59.9876187, 29.7747756 59.9875032, 29.774778 59.9874691, 29.7747827 59.9874266, 29.7747774 59.9873664)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7748475 59.9873571, 29.7746839 59.9871504, 29.7746799 59.9871408, 29.774682 59.9871316, 29.7747799 59.9871123, 29.7747926 59.9871098)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7805058 59.9865585, 29.7833742 59.985984, 29.784164 59.9858227, 29.7845238 59.985749, 29.787279 59.9852025, 29.7888298 59.9848866)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7772119 59.9863492, 29.7773064 59.9863778, 29.7774126 59.9863644, 29.7774914 59.9863885)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,destination,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7736181 59.9875679, 29.7736222 59.9875729, 29.7736654 59.9876254, 29.7738493 59.9875891, 29.7743154 59.9874972, 29.7742758 59.987449, 29.7742716 59.987444)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7789102 59.9905107, 29.778951 59.9902259)",,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7745772 59.9887242, 29.7757852 59.9884909)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7757852 59.9884909, 29.7759311 59.9886717, 29.775781 59.9887351)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7747369 59.988345, 29.7745996 59.9881715)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7748681 59.9885062, 29.7750906 59.9883489, 29.7751566 59.9882731, 29.775099 59.9881813)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7770423 59.9895876, 29.7772761 59.9891374, 29.7772985 59.9890767, 29.7773316 59.9889872, 29.7774282 59.988887, 29.7775845 59.9888389)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7778401 59.9906745, 29.778106 59.9906005, 29.778239 59.9905403, 29.7783795 59.9904976, 29.7784648 59.9904361, 29.778525 59.9903671, 29.7787584 59.9902931, 29.778951 59.9902259)",,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749145 59.9892583, 29.7746586 59.9893097)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,yes,default,,,,,,
"LINESTRING (29.7746586 59.9893097, 29.7746215 59.9893171, 29.7743966 59.9893623)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7743966 59.9893623, 29.7740667 59.9889388, 29.7738773 59.988704, 29.7735967 59.9883562, 29.773445 59.9881682, 29.7734145 59.9881264, 29.7733831 59.9880835)",,,,residential,,,,,yes,Красная улица,,,,,asphalt,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,ограничение сквозного проезда - временный знак на стойке,,,,,
"LINESTRING (29.7753665 59.9901756, 29.7752607 59.9901988)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7750273 59.9902459, 29.7752607 59.9901988)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.774824 59.9868824, 29.7748185 59.9868754)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749084 59.9900974, 29.7750273 59.9902459, 29.7753799 59.990336)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749406 59.9900328, 29.7751423 59.9900567, 29.7752582 59.9900375)",,,,service,,,,,,,,,,,asphalt,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7832819 59.9860633, 29.7829642 59.9861269, 29.7824225 59.9862354)",,,,tertiary,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,Q4361182,,,,,,,,,,,,,,,,,,,
